Ticker,Price,Score Vel%,Score Comp%,"EMA5,20 Diff %","EMA20, 50 Diff %","EMA50, 100 Diff %",1M Max DD%,Liquidity(Cr),Rank_Compounding
KALYANKJIL,615.8,5.94,8.46,2.66,9.76,10.05,9.5,799.64,1
LAURUSLABS,1938.5,6.28,8.29,3.97,7.78,10.96,7.8,361.56,2
COFORGE,2014.6,6.63,7.2,5.7,8.4,6.74,14.77,388.52,3
DIVISLAB,9239.0,6.43,7.16,5.39,7.94,7.27,12.8,426.66,4
RADICO,4606.0,4.32,6.49,1.7,6.55,8.83,8.28,145.95,5
LODHA,1274.0,4.07,5.64,2.07,6.18,6.89,5.63,149.09,6
OFSS,12190.0,3.63,5.29,1.83,4.29,8.01,8.24,239.75,7
FLUOROCHEM,4672.1,3.7,5.25,1.77,5.53,6.72,7.83,108.47,8
MOTHERSON,165.6,3.54,5.14,1.56,5.44,6.62,11.53,334.98,9
ETERNAL,328.0,4.05,4.97,2.76,5.92,5.12,8.63,802.28,10
TVSMOTOR,4304.2,3.38,4.75,1.48,6.0,5.14,3.63,397.92,11
SOLARINDS,20400.0,3.91,4.68,3.1,4.12,6.03,10.64,288.38,12
IPCALAB,1959.8,4.48,4.56,4.43,4.32,4.87,13.98,128.36,13
M&MFIN,376.6,2.28,4.21,-0.29,5.4,5.27,8.66,94.15,14
TITAN,5169.2,3.19,4.15,1.96,4.53,4.86,5.69,434.32,15
BAJAJ-AUTO,11910.0,2.92,3.97,1.59,4.33,4.81,3.41,267.43,16
NYKAA,338.0,2.74,3.93,1.41,3.47,5.64,7.05,215.46,17
MEDANTA,1472.2,3.12,3.87,2.25,3.71,4.84,7.68,42.88,18
BHEL,433.95,2.45,3.65,1.27,2.35,6.14,7.56,327.79,19
AJANTPHARM,3557.0,2.17,3.65,0.36,3.73,5.22,7.65,29.07,20
TMCV,466.3,3.06,3.64,2.16,4.66,3.36,9.71,397.98,21
JSWINFRA,342.95,2.48,3.49,1.34,3.11,4.93,9.87,89.34,22
SIEMENS,4089.0,3.12,3.47,2.68,3.61,3.72,8.6,186.57,23
ENDURANCE,2944.8,2.63,3.45,1.51,4.1,3.77,8.95,46.77,24
NAM-INDIA,1204.0,2.46,3.42,1.45,2.66,5.15,8.32,128.17,25
UNITDSPR,1510.0,2.03,3.16,0.53,3.88,3.75,2.96,76.46,26
AUROPHARMA,1637.0,1.89,3.01,0.63,2.56,4.65,6.74,161.22,27
ABB,7490.0,1.8,2.97,0.45,2.65,4.56,6.62,193.8,28
SHRIRAMFIN,1086.9,1.7,2.92,0.15,3.3,3.94,8.26,439.3,29
NIACL,185.2,2.48,2.89,2.04,2.7,3.5,11.43,51.99,30
