Ticker,Price,Score Vel%,Score Comp%,"EMA5,20 Diff %","EMA20, 50 Diff %","EMA50, 100 Diff %",1M Max DD%,Liquidity(Cr),Rank_Velocity
COFORGE,2014.6,6.63,7.2,5.7,8.4,6.74,14.77,388.52,1
DIVISLAB,9239.0,6.43,7.16,5.39,7.94,7.27,12.8,426.66,2
LAURUSLABS,1938.5,6.28,8.29,3.97,7.78,10.96,7.8,361.56,3
KALYANKJIL,615.8,5.94,8.46,2.66,9.76,10.05,9.5,799.64,4
IPCALAB,1959.8,4.48,4.56,4.43,4.32,4.87,13.98,128.36,5
RADICO,4606.0,4.32,6.49,1.7,6.55,8.83,8.28,145.95,6
LODHA,1274.0,4.07,5.64,2.07,6.18,6.89,5.63,149.09,7
ETERNAL,328.0,4.05,4.97,2.76,5.92,5.12,8.63,802.28,8
SOLARINDS,20400.0,3.91,4.68,3.1,4.12,6.03,10.64,288.38,9
FLUOROCHEM,4672.1,3.7,5.25,1.77,5.53,6.72,7.83,108.47,10
OFSS,12190.0,3.63,5.29,1.83,4.29,8.01,8.24,239.75,11
MOTHERSON,165.6,3.54,5.14,1.56,5.44,6.62,11.53,334.98,12
TVSMOTOR,4304.2,3.38,4.75,1.48,6.0,5.14,3.63,397.92,13
GLENMARK,2515.0,3.34,2.6,4.26,2.45,1.93,11.53,122.98,14
TITAN,5169.2,3.19,4.15,1.96,4.53,4.86,5.69,434.32,15
MEDANTA,1472.2,3.12,3.87,2.25,3.71,4.84,7.68,42.88,16
SIEMENS,4089.0,3.12,3.47,2.68,3.61,3.72,8.6,186.57,17
HINDZINC,622.0,3.09,2.0,4.32,2.41,0.43,13.93,426.75,18
TMCV,466.3,3.06,3.64,2.16,4.66,3.36,9.71,397.98,19
BAJAJ-AUTO,11910.0,2.92,3.97,1.59,4.33,4.81,3.41,267.43,20
NYKAA,338.0,2.74,3.93,1.41,3.47,5.64,7.05,215.46,21
ENDURANCE,2944.8,2.63,3.45,1.51,4.1,3.77,8.95,46.77,22
NIACL,185.2,2.48,2.89,2.04,2.7,3.5,11.43,51.99,23
JSWINFRA,342.95,2.48,3.49,1.34,3.11,4.93,9.87,89.34,24
NAM-INDIA,1204.0,2.46,3.42,1.45,2.66,5.15,8.32,128.17,25
BHEL,433.95,2.45,3.65,1.27,2.35,6.14,7.56,327.79,26
M&MFIN,376.6,2.28,4.21,-0.29,5.4,5.27,8.66,94.15,27
UNIONBANK,186.0,2.27,2.73,1.59,3.38,2.64,9.35,207.61,28
AUBANK,1091.0,2.24,2.52,1.9,2.56,2.8,8.76,188.07,29
ASHOKLEY,175.77,2.18,2.27,1.84,3.39,1.37,7.19,318.2,30
