Ticker,Price,Score Vel%,Score Comp%,"EMA5,20 Diff %","EMA20, 50 Diff %","EMA50, 100 Diff %",1M Max DD%,Liquidity(Cr),Rank_Velocity
COFORGE,1988.9,6.83,7.48,5.83,8.66,7.12,13.14,399.52,1
DIVISLAB,9165.0,6.7,7.47,5.61,8.25,7.63,12.59,361.33,2
APARINDS,17400.0,5.9,7.32,4.27,6.95,9.21,14.26,278.34,3
LAURUSLABS,1861.6,5.63,7.95,2.92,7.51,10.91,7.8,650.99,4
LENSKART,663.75,5.4,6.02,4.51,6.73,6.07,14.88,877.69,5
KALYANKJIL,573.0,4.27,7.48,0.18,8.7,9.9,9.5,719.16,6
OFSS,12187.0,4.21,5.59,2.77,4.54,8.04,8.93,257.8,7
ANTHEM,924.5,4.14,4.69,3.38,5.17,4.87,11.39,67.23,8
ETERNAL,327.75,3.76,4.84,2.28,5.74,5.23,6.27,1209.17,9
NAUKRI,1356.0,3.75,5.19,1.73,6.66,5.45,11.11,265.05,10
FLUOROCHEM,4740.1,3.73,5.23,1.9,5.34,6.79,7.44,111.72,11
BAJAJ-AUTO,12361.0,3.67,4.36,2.79,4.55,4.97,6.16,283.99,12
MOTHERSON,165.6,3.47,5.06,1.51,5.27,6.63,11.53,329.31,13
SOLARINDS,20060.0,3.42,4.47,2.24,4.04,6.02,10.59,298.68,14
GLENMARK,2470.4,3.33,2.8,3.95,2.85,2.16,11.53,122.29,15
RADICO,4474.3,3.13,5.71,0.04,5.67,8.59,5.98,147.3,16
MEDANTA,1458.1,2.99,3.84,1.99,3.71,4.89,7.68,42.41,17
NYKAA,338.5,2.99,4.04,1.83,3.53,5.66,8.28,214.52,18
BHEL,426.55,2.94,3.91,2.02,2.66,6.11,8.96,341.15,19
AUROPHARMA,1683.3,2.82,3.48,2.14,2.88,4.74,7.64,157.34,20
TITAN,5050.0,2.68,3.88,1.16,4.26,4.86,4.97,420.31,21
SIEMENS,4030.0,2.67,3.29,1.87,3.52,3.75,5.69,163.42,22
KPRMILL,1158.5,2.56,2.87,2.3,2.27,3.75,10.22,34.41,23
TMCV,464.35,2.53,3.39,1.28,4.39,3.44,7.65,404.1,24
NIACL,185.77,2.53,3.0,1.99,2.86,3.63,10.18,76.43,25
LODHA,1193.9,2.52,4.76,-0.28,5.34,6.7,6.81,156.59,26
TVSMOTOR,4203.0,2.48,4.23,0.15,5.4,5.1,5.89,406.08,27
LGEINDIA,1665.6,2.23,2.1,2.28,2.6,1.52,10.82,176.37,28
HINDZINC,597.0,2.21,1.73,2.66,2.43,0.57,11.09,446.96,29
ZYDUSLIFE,1167.8,2.19,2.69,1.74,1.94,3.91,8.4,198.82,30
